Item No.,Item Description,In Stock,FOREIGN NAME,Pair Size,No of pairs,SALES UOM,PURCHASE UOM,INVENTORY UOM,MRP,Product Type,Last Purchase Price,HSN/Commodity Code,VAT Commodity Group Code
3-FB-3290-BK-X12,FG SC-Fortune Kinaloor-3290-Black-Giants-12,45,Footwear-Pride-3290-Black-Giants-12,12,1,PAIR,No,PAIR,0,Covering,156.37,,SF
3-FB-3290-BR-G06,FG SC-Fortune Kinaloor-3290-Brown-Gents-06,144,Footwear-Pride-3290-Brown-Gents-06,6,1,PAIR,No,PAIR,289,Covering,129.93,6402.99.90,SF
3-FB-3290-BR-G07,FG SC-Fortune Kinaloor-3290-Brown-Gents-07,665,Footwear-Pride-3290-Brown-Gents-07,7,1,PAIR,No,PAIR,0,Covering,131.25,,SF
3-FB-3290-BR-G08,FG SC-Fortune Kinaloor-3290-Brown-Gents-08,812,Footwear-Pride-3290-Brown-Gents-08,8,1,PAIR,No,PAIR,0,Covering,132.64,,SF
3-FB-3290-BR-G09,FG SC-Fortune Kinaloor-3290-Brown-Gents-09,692,Footwear-Pride-3290-Brown-Gents-09,9,1,PAIR,No,PAIR,289,Covering,137.93,,SF
3-FB-3290-BR-G10,FG SC-Fortune Kinaloor-3290-Brown-Gents-10,685,Footwear-Pride-3290-Brown-Gents-10,10,1,PAIR,No,PAIR,0,Covering,139.27,,SF
3-FB-3290-BR-X11,FG SC-Fortune Kinaloor-3290-Brown-Giants-11,80,Footwear-Pride-3290-Brown-Giants-11,11,1,PAIR,No,PAIR,0,Covering,156.34,,SF
3-FB-3290-BR-X12,FG SC-Fortune Kinaloor-3290-Brown-Giants-12,88,Footwear-Pride-3290-Brown-Giants-12,12,1,PAIR,No,PAIR,0,Covering,159.24,,SF
3-FB-3290-TA-G06,FG SC-Fortune Kinaloor-3290-Tan-Gents-06,25,Footwear-Pride-3290-Tan-Gents-06,6,1,PAIR,No,PAIR,0,Covering,123.77,,SF
3-FB-3290-TA-G07,FG SC-Fortune Kinaloor-3290-Tan-Gents-07,62,Footwear-Pride-3290-Tan-Gents-07,7,1,PAIR,No,PAIR,0,Covering,127.87,,SF
3-FB-3290-TA-G08,FG SC-Fortune Kinaloor-3290-Tan-Gents-08,38,Footwear-Pride-3290-Tan-Gents-08,8,1,PAIR,No,PAIR,0,Covering,129.53,,SF
3-FB-3290-TA-G09,FG SC-Fortune Kinaloor-3290-Tan-Gents-09,61,Footwear-Pride-3290-Tan-Gents-09,9,1,PAIR,No,PAIR,0,Covering,132.97,,SF
3-FB-3290-TA-G10,FG SC-Fortune Kinaloor-3290-Tan-Gents-10,41,Footwear-Pride-3290-Tan-Gents-10,10,1,PAIR,No,PAIR,0,Covering,134.07,,SF
3-FB-3290-TA-X11,FG SC-Fortune Kinaloor-3290-Tan-Giants-11,0,Footwear-PRIDE-3290-Tan-Giants-11,11,1,PAIR,No,PAIR,0,COVERING,0,,SF
3-FB-3290-TA-X12,FG SC-Fortune Kinaloor-3290-Tan-Giants-12,0,Footwear-PRIDE-3290-Tan-Giants-12,12,1,PAIR,No,PAIR,0,COVERING,0,,SF
3-FB-3290-WT-G06,FG SC-Fortune Kinaloor-3290-White-Gents-06,18,Footwear-Pride-3290-White-Gents-06,6,1,PAIR,No,PAIR,0,Covering,120.44,,SF
3-FB-3290-WT-G07,FG SC-Fortune Kinaloor-3290-White-Gents-07,15,Footwear-Fortune Kinaloor-3290-Pride-Gents-07,7,1,PAIR,No,PAIR,0,,122.98,,SF
3-FB-3290-WT-G08,FG SC-Fortune Kinaloor-3290-White-Gents-08,13,Footwear-Fortune Kinaloor-3290-Pride-Gents-08,8,1,PAIR,No,PAIR,0,,126.19,,SF
